id,year,county,psi_21_cases,psi_21_population,psi_21_rate,psi_22_cases,psi_22_population,psi_22_rate,psi_23_cases,psi_23_population,psi_23_rate,psi_24_cases,psi_24_population,psi_24_rate,psi_25_cases,psi_25_population,psi_25_rate,psi_26_cases,psi_26_population,psi_26_rate,psi_27_cases,psi_27_population,psi_27_rate,gvid
113,2009,Humboldt,5,105478,4.7,4,105478,3.8,5,105478,4.7,2,105478,1.9,60,105478,56.9,0,105478,0.0,52,105478,49.3,0O060n
114,2010,Humboldt,3,106717,2.8,4,106717,3.7,4,106717,3.7,3,106717,2.8,46,106717,43.1,0,106717,0.0,46,106717,43.1,0O060n
115,2011,Humboldt,4,107013,3.7,6,107013,5.6,4,107013,3.7,1,107013,0.9,30,107013,28.0,0,107013,0.0,34,107013,31.8,0O060n
116,2012,Humboldt,0,108573,0.0,4,108573,3.7,1,108573,0.9,2,108573,1.8,27,108573,24.9,0,108573,0.0,25,108573,23.0,0O060n
117,2013,Humboldt,1,109517,0.9,3,109517,2.7,6,109517,5.5,0,109517,0.0,23,109517,21.0,0,109517,0.0,38,109517,34.7,0O060n
118,2005,Imperial,1,109478,0.9,11,109478,10.0,21,109478,19.2,2,109478,1.8,39,109478,35.6,0,109478,0.0,44,109478,40.2,0O060p
119,2006,Imperial,2,112879,1.8,7,112879,6.2,23,112879,20.4,2,112879,1.8,32,112879,28.3,0,112879,0.0,39,112879,34.6,0O060p
120,2007,Imperial,2,115944,1.7,7,115944,6.0,16,115944,13.8,0,115944,0.0,41,115944,35.4,0,115944,0.0,33,115944,28.5,0O060p
121,2008,Imperial,1,118550,0.8,6,118550,5.1,12,118550,10.1,4,118550,3.4,50,118550,42.2,0,118550,0.0,32,118550,27.0,0O060p
122,2009,Imperial,2,121552,1.6,9,121552,7.4,5,121552,4.1,4,121552,3.3,41,121552,33.7,0,121552,0.0,38,121552,31.3,0O060p
123,2010,Imperial,0,124055,0.0,5,124055,4.0,2,124055,1.6,2,124055,1.6,35,124055,28.2,0,124055,0.0,45,124055,36.3,0O060p
124,2011,Imperial,3,125985,2.4,4,125985,3.2,4,125985,3.2,2,125985,1.6,24,125985,19.0,1,125985,0.8,21,125985,16.7,0O060p
125,2012,Imperial,0,129115,0.0,13,129115,10.1,2,129115,1.5,0,129115,0.0,25,129115,19.4,0,129115,0.0,42,129115,32.5,0O060p
126,2013,Imperial,0,131840,0.0,8,131840,6.1,6,131840,4.6,1,131840,0.8,29,131840,22.0,0,131840,0.0,30,131840,22.8,0O060p
127,2005,Inyo,0,14549,0.0,1,14549,6.9,0,14549,0.0,0,14549,0.0,2,14549,13.7,0,14549,0.0,8,14549,55.0,0O060r
128,2006,Inyo,0,14456,0.0,3,14456,20.8,2,14456,13.8,0,14456,0.0,2,14456,13.8,0,14456,0.0,3,14456,20.8,0O060r
129,2007,Inyo,1,14505,6.9,1,14505,6.9,1,14505,6.9,0,14505,0.0,19,14505,131.0,0,14505,0.0,3,14505,20.7,0O060r
130,2008,Inyo,0,14485,0.0,0,14485,0.0,0,14485,0.0,0,14485,0.0,9,14485,62.1,0,14485,0.0,4,14485,27.6,0O060r
131,2009,Inyo,0,14651,0.0,2,14651,13.7,0,14651,0.0,0,14651,0.0,3,14651,20.5,0,14651,0.0,4,14651,27.3,0O060r
132,2010,Inyo,0,14670,0.0,2,14670,13.6,0,14670,0.0,0,14670,0.0,9,14670,61.3,0,14670,0.0,9,14670,61.3,0O060r
133,2011,Inyo,0,14640,0.0,0,14640,0.0,2,14640,13.7,0,14640,0.0,2,14640,13.7,0,14640,0.0,3,14640,20.5,0O060r
134,2012,Inyo,0,14845,0.0,0,14845,0.0,0,14845,0.0,0,14845,0.0,5,14845,33.7,0,14845,0.0,5,14845,33.7,0O060r
135,2013,Inyo,0,14924,0.0,1,14924,6.7,0,14924,0.0,0,14924,0.0,7,14924,46.9,0,14924,0.0,3,14924,20.1,0O060r
136,2005,Kern,7,526395,1.3,44,526395,8.4,153,526395,29.1,10,526395,1.9,234,526395,44.5,1,526395,0.2,234,526395,44.5,0O060t
137,2006,Kern,13,544084,2.4,48,544084,8.8,164,544084,30.1,14,544084,2.6,219,544084,40.3,0,544084,0.0,218,544084,40.1,0O060t
138,2007,Kern,15,557795,2.7,47,557795,8.4,149,557795,26.7,14,557795,2.5,274,557795,49.1,1,557795,0.2,247,557795,44.3,0O060t
139,2008,Kern,14,568635,2.5,39,568635,6.9,74,568635,13.0,12,568635,2.1,227,568635,39.9,0,568635,0.0,238,568635,41.9,0O060t
140,2009,Kern,9,578043,1.6,50,578043,8.6,102,578043,17.6,13,578043,2.2,279,578043,48.3,0,578043,0.0,226,578043,39.1,0O060t
141,2010,Kern,8,587730,1.4,49,587730,8.3,132,587730,22.5,15,587730,2.6,262,587730,44.6,0,587730,0.0,218,587730,37.1,0O060t
142,2011,Kern,10,597565,1.7,43,597565,7.2,125,597565,20.9,14,597565,2.3,227,597565,38.0,2,597565,0.3,226,597565,37.8,0O060t
143,2012,Kern,8,619405,1.3,41,619405,6.6,99,619405,16.0,21,619405,3.4,198,619405,32.0,1,619405,0.2,198,619405,32.0,0O060t
144,2013,Kern,7,633198,1.1,41,633198,6.5,99,633198,15.6,14,633198,2.2,203,633198,32.1,0,633198,0.0,239,633198,37.7,0O060t
145,2005,Kings,1,104744,1.0,5,104744,4.8,12,104744,11.5,0,104744,0.0,32,104744,30.6,0,104744,0.0,30,104744,28.6,0O060v
146,2006,Kings,3,106917,2.8,7,106917,6.5,19,106917,17.8,1,106917,0.9,35,106917,32.7,0,106917,0.0,42,106917,39.3,0O060v
147,2007,Kings,1,108972,0.9,5,108972,4.6,18,108972,16.5,1,108972,0.9,27,108972,24.8,0,108972,0.0,31,108972,28.4,0O060v
148,2008,Kings,1,110111,0.9,3,110111,2.7,17,110111,15.4,4,110111,3.6,37,110111,33.6,0,110111,0.0,46,110111,41.8,0O060v
149,2009,Kings,3,109913,2.7,5,109913,4.5,10,109913,9.1,1,109913,0.9,48,109913,43.7,0,109913,0.0,37,109913,33.7,0O060v
150,2010,Kings,3,110532,2.7,4,110532,3.6,12,110532,10.9,1,110532,0.9,43,110532,38.9,0,110532,0.0,48,110532,43.4,0O060v
151,2011,Kings,2,111322,1.8,2,111322,1.8,15,111322,13.5,2,111322,1.8,31,111322,27.8,0,111322,0.0,31,111322,27.8,0O060v
152,2012,Kings,4,115866,3.5,7,115866,6.0,12,115866,10.4,0,115866,0.0,30,115866,25.9,0,115866,0.0,30,115866,25.9,0O060v
153,2013,Kings,1,117669,0.8,5,117669,4.2,5,117669,4.2,2,117669,1.7,34,117669,28.9,0,117669,0.0,33,117669,28.0,0O060v
154,2005,Lake,4,49529,8.1,7,49529,14.1,14,49529,28.3,1,49529,2.0,50,49529,101.0,0,49529,0.0,45,49529,90.9,0O060x
155,2006,Lake,4,49985,8.0,11,49985,22.0,22,49985,44.0,2,49985,4.0,35,49985,70.0,0,49985,0.0,36,49985,72.0,0O060x
156,2007,Lake,0,50130,0.0,8,50130,16.0,18,50130,35.9,3,50130,6.0,43,50130,85.8,0,50130,0.0,35,50130,69.8,0O060x
157,2008,Lake,3,50505,5.9,8,50505,15.8,3,50505,5.9,2,50505,4.0,38,50505,75.2,0,50505,0.0,38,50505,75.2,0O060x
158,2009,Lake,4,50721,7.9,9,50721,17.7,13,50721,25.6,0,50721,0.0,24,50721,47.3,0,50721,0.0,29,50721,57.2,0O060x
159,2010,Lake,1,51151,2.0,8,51151,15.6,7,51151,13.7,0,51151,0.0,28,51151,54.7,0,51151,0.0,32,51151,62.6,0O060x
160,2011,Lake,2,51085,3.9,11,51085,21.5,3,51085,5.9,3,51085,5.9,30,51085,58.7,0,51085,0.0,33,51085,64.6,0O060x
161,2012,Lake,2,52567,3.8,8,52567,15.2,2,52567,3.8,0,52567,0.0,29,52567,55.2,0,52567,0.0,36,52567,68.5,0O060x
162,2013,Lake,0,53116,0.0,10,53116,18.8,4,53116,7.5,1,53116,1.9,31,53116,58.4,0,53116,0.0,23,53116,43.3,0O060x
163,2005,Lassen,0,27722,0.0,0,27722,0.0,3,27722,10.8,2,27722,7.2,6,27722,21.6,0,27722,0.0,4,27722,14.4,0O060z
164,2006,Lassen,0,27919,0.0,1,27919,3.6,1,27919,3.6,1,27919,3.6,4,27919,14.3,0,27919,0.0,3,27919,10.7,0O060z
165,2007,Lassen,0,29030,0.0,3,29030,10.3,0,29030,0.0,0,29030,0.0,4,29030,13.8,0,29030,0.0,13,29030,44.8,0O060z
166,2008,Lassen,1,28658,3.5,0,28658,0.0,2,28658,7.0,0,28658,0.0,9,28658,31.4,0,28658,0.0,3,28658,10.5,0O060z
167,2009,Lassen,0,28696,0.0,1,28696,3.5,0,28696,0.0,1,28696,3.5,8,28696,27.9,0,28696,0.0,2,28696,7.0,0O060z
168,2010,Lassen,2,28485,7.0,0,28485,0.0,0,28485,0.0,1,28485,3.5,3,28485,10.5,0,28485,0.0,8,28485,28.1,0O060z
169,2011,Lassen,1,28179,3.5,1,28179,3.5,5,28179,17.7,0,28179,0.0,5,28179,17.7,0,28179,0.0,6,28179,21.3,0O060z
170,2012,Lassen,0,29251,0.0,3,29251,10.3,1,29251,3.4,0,29251,0.0,6,29251,20.5,0,29251,0.0,8,29251,27.3,0O060z
171,2013,Lassen,2,29503,6.8,1,29503,3.4,0,29503,0.0,0,29503,0.0,1,29503,3.4,0,29503,0.0,2,29503,6.8,0O060z
172,2005,"Los Angeles",71,7202516,1.0,328,7202516,4.6,1844,7202516,25.6,107,7202516,1.5,1772,7202516,24.6,4,7202516,0.1,2323,7202516,32.3,0O060B
173,2006,"Los Angeles",72,7208716,1.0,300,7208716,4.2,1755,7208716,24.3,121,7208716,1.7,1847,7208716,25.6,8,7208716,0.1,2204,7208716,30.6,0O060B
174,2007,"Los Angeles",79,7223113,1.1,347,7223112,4.8,1697,7223112,23.5,106,7223112,1.5,1834,7223112,25.4,1,7223112,0.0,2154,7223112,29.8,0O060B
175,2008,"Los Angeles",77,7281072,1.1,289,7281072,4.0,1032,7281072,14.2,110,7281072,1.5,1841,7281072,25.3,5,7281072,0.1,2186,7281072,30.0,0O060B
176,2009,"Los Angeles",68,7353912,0.9,283,7353912,3.8,1040,7353912,14.1,102,7353912,1.4,1672,7353912,22.7,2,7353912,0.0,2184,7353912,29.7,0O060B
177,2010,"Los Angeles",85,7416634,1.1,347,7416633,4.7,943,7416633,12.7,85,7416633,1.1,1758,7416633,23.7,3,7416633,0.0,2202,7416633,29.7,0O060B
178,2011,"Los Angeles",74,7504083,1.0,287,7504083,3.8,725,7504083,9.7,92,7504083,1.2,1694,7504083,22.6,2,7504083,0.0,2143,7504083,28.6,0O060B
179,2012,"Los Angeles",77,7521994,1.0,288,7521994,3.8,580,7521994,7.7,89,7521994,1.2,1573,7521994,20.9,4,7521994,0.1,1966,7521994,26.1,0O060B
180,2013,"Los Angeles",75,7572444,1.0,250,7572444,3.3,530,7572444,7.0,74,7572444,1.0,1371,7572444,18.1,3,7572444,0.0,1752,7572444,23.1,0O060B
181,2005,Madera,1,100047,1.0,13,100047,13.0,20,100047,20.0,1,100047,1.0,44,100047,44.0,0,100047,0.0,39,100047,39.0,0O060D
182,2006,Madera,1,102344,1.0,3,102344,2.9,10,102344,9.8,2,102344,2.0,38,102344,37.1,0,102344,0.0,46,102344,44.9,0O060D
183,2007,Madera,0,104227,0.0,8,104227,7.7,12,104227,11.5,0,104227,0.0,31,104227,29.7,0,104227,0.0,34,104227,32.6,0O060D
184,2008,Madera,1,105909,0.9,14,105909,13.2,7,105909,6.6,1,105909,0.9,46,105909,43.4,0,105909,0.0,44,105909,41.5,0O060D
185,2009,Madera,2,106674,1.9,8,106674,7.5,5,106674,4.7,3,106674,2.8,38,106674,35.6,0,106674,0.0,35,106674,32.8,0O060D
186,2010,Madera,3,108385,2.8,8,108385,7.4,12,108385,11.1,2,108385,1.8,50,108385,46.1,0,108385,0.0,44,108385,40.6,0O060D
187,2011,Madera,1,109902,0.9,7,109902,6.4,5,109902,4.5,4,109902,3.6,58,109902,52.8,0,109902,0.0,29,109902,26.4,0O060D
188,2012,Madera,2,113712,1.8,12,113712,10.6,11,113712,9.7,0,113712,0.0,43,113712,37.8,0,113712,0.0,28,113712,24.6,0O060D
