id,year,county,psi_21_cases,psi_21_population,psi_21_rate,psi_22_cases,psi_22_population,psi_22_rate,psi_23_cases,psi_23_population,psi_23_rate,psi_24_cases,psi_24_population,psi_24_rate,psi_25_cases,psi_25_population,psi_25_rate,psi_26_cases,psi_26_population,psi_26_rate,psi_27_cases,psi_27_population,psi_27_rate,gvid
246,2007,Monterey,5,293684,1.7,10,293684,3.4,38,293685,12.9,8,293684,2.7,90,293684,30.6,0,293684,0.0,118,293684,40.2,0O060R
247,2008,Monterey,8,296155,2.7,10,296155,3.4,22,296155,7.4,3,296155,1.0,68,296155,23.0,2,296155,0.7,114,296155,38.5,0O060R
248,2009,Monterey,11,299502,3.7,12,299502,4.0,36,299502,12.0,3,299502,1.0,90,299502,30.0,1,299502,0.3,98,299502,32.7,0O060R
249,2010,Monterey,3,304351,1.0,10,304351,3.3,26,304351,8.5,3,304351,1.0,82,304351,26.9,1,304351,0.3,104,304351,34.2,0O060R
250,2011,Monterey,4,308056,1.3,16,308056,5.2,16,308056,5.2,4,308056,1.3,88,308056,28.6,0,308056,0.0,93,308056,30.2,0O060R
251,2012,Monterey,6,304433,2.0,15,304433,4.9,10,304433,3.3,4,304433,1.3,48,304433,15.8,0,304433,0.0,68,304433,22.3,0O060R
252,2013,Monterey,6,305687,2.0,16,305687,5.2,8,305687,2.6,2,305687,0.7,65,305687,21.3,0,305687,0.0,75,305687,24.5,0O060R
253,2005,Napa,4,99628,4.0,10,99628,10.0,27,99628,27.1,1,99628,1.0,67,99628,67.3,0,99628,0.0,79,99628,79.3,0O060T
254,2006,Napa,4,100569,4.0,11,100569,10.9,18,100569,17.9,3,100569,3.0,60,100569,59.7,0,100569,0.0,62,100569,61.6,0O060T
255,2007,Napa,3,101701,2.9,6,101701,5.9,19,101701,18.7,1,101701,1.0,59,101701,58.0,0,101701,0.0,48,101701,47.2,0O060T
256,2008,Napa,7,102958,6.8,4,102958,3.9,11,102958,10.7,0,102958,0.0,46,102958,44.7,0,102958,0.0,60,102958,58.3,0O060T
257,2009,Napa,0,103909,0.0,6,103909,5.8,10,103909,9.6,5,103909,4.8,48,103909,46.2,0,103909,0.0,53,103909,51.0,0O060T
258,2010,Napa,1,105302,0.9,10,105302,9.5,17,105302,16.1,2,105302,1.9,60,105302,57.0,0,105302,0.0,65,105302,61.7,0O060T
259,2011,Napa,1,106488,0.9,11,106488,10.3,8,106488,7.5,1,106488,0.9,47,106488,44.1,0,106488,0.0,51,106488,47.9,0O060T
260,2012,Napa,2,107052,1.9,1,107052,0.9,10,107052,9.3,1,107052,0.9,53,107052,49.5,0,107052,0.0,53,107052,49.5,0O060T
261,2013,Napa,4,108040,3.7,7,108040,6.5,10,108040,9.3,3,108040,2.8,39,108040,36.1,0,108040,0.0,41,108040,37.9,0O060T
262,2005,Nevada,2,77111,2.6,13,77111,16.9,21,77111,27.2,1,77111,1.3,32,77111,41.5,0,77111,0.0,33,77111,42.8,0O060V
263,2006,Nevada,2,77728,2.6,6,77728,7.7,19,77728,24.4,2,77728,2.6,35,77728,45.0,0,77728,0.0,47,77728,60.5,0O060V
264,2007,Nevada,2,78179,2.6,10,78179,12.8,18,78179,23.0,2,78179,2.6,39,78179,49.9,0,78179,0.0,40,78179,51.2,0O060V
265,2008,Nevada,0,78803,0.0,6,78803,7.6,3,78803,3.8,2,78803,2.5,38,78803,48.2,0,78803,0.0,44,78803,55.8,0O060V
266,2009,Nevada,1,79505,1.3,6,79505,7.5,4,79505,5.0,0,79505,0.0,44,79505,55.3,0,79505,0.0,48,79505,60.4,0O060V
267,2010,Nevada,0,80097,0.0,11,80097,13.7,5,80097,6.2,0,80097,0.0,36,80098,44.9,0,80097,0.0,39,80097,48.7,0O060V
268,2011,Nevada,2,80389,2.5,4,80389,5.0,6,80389,7.5,0,80389,0.0,26,80389,32.3,0,80389,0.0,31,80389,38.6,0O060V
269,2012,Nevada,1,81908,1.2,1,81908,1.2,7,81908,8.5,1,81908,1.2,27,81908,33.0,0,81908,0.0,44,81908,53.7,0O060V
270,2013,Nevada,0,82694,0.0,4,82694,4.8,3,82694,3.6,0,82694,0.0,25,82694,30.2,0,82694,0.0,42,82694,50.8,0O060V
271,2005,Orange,23,2180617,1.1,110,2180617,5.0,472,2180617,21.6,29,2180617,1.3,570,2180617,26.1,2,2180617,0.1,707,2180617,32.4,0O060X
272,2006,Orange,29,2185121,1.3,121,2185121,5.5,484,2185121,22.1,23,2185121,1.1,647,2185121,29.6,0,2185121,0.0,810,2185121,37.1,0O060X
273,2007,Orange,31,2194736,1.4,117,2194736,5.3,459,2194736,20.9,31,2194736,1.4,742,2194736,33.8,0,2194736,0.0,874,2194736,39.8,0O060X
274,2008,Orange,27,2219901,1.2,112,2219901,5.0,281,2219901,12.7,17,2219901,0.8,685,2219901,30.9,0,2219901,0.0,791,2219901,35.6,0O060X
275,2009,Orange,22,2249031,1.0,99,2249030,4.4,304,2249030,13.5,21,2249030,0.9,612,2249030,27.2,1,2249030,0.0,815,2249030,36.2,0O060X
276,2010,Orange,29,2279215,1.3,127,2279215,5.6,201,2279215,8.8,23,2279215,1.0,637,2279215,27.9,2,2279215,0.1,815,2279215,35.8,0O060X
277,2011,Orange,21,2319605,0.9,93,2319605,4.0,206,2319605,8.9,29,2319605,1.3,539,2319605,23.2,2,2319605,0.1,694,2319605,29.9,0O060X
278,2012,Orange,22,2310768,1.0,95,2310768,4.1,173,2310768,7.5,20,2310768,0.9,537,2310768,23.2,1,2310768,0.0,725,2310768,31.4,0O060X
279,2013,Orange,23,2329247,1.0,85,2329247,3.6,154,2329247,6.6,16,2329247,0.7,482,2329247,20.7,1,2329247,0.0,619,2329247,26.6,0O060X
280,2005,Placer,5,233967,2.1,19,233967,8.1,37,233967,15.8,4,233967,1.7,83,233967,35.5,0,233967,0.0,79,233967,33.8,0O060Z
281,2006,Placer,4,241760,1.7,18,241760,7.4,34,241760,14.1,2,241760,0.8,98,241760,40.5,0,241760,0.0,95,241760,39.3,0O060Z
282,2007,Placer,3,247749,1.2,18,247749,7.3,22,247749,8.9,5,247749,2.0,87,247749,35.1,0,247749,0.0,106,247749,42.8,0O060Z
283,2008,Placer,5,254728,2.0,13,254728,5.1,11,254728,4.3,3,254728,1.2,91,254728,35.7,0,254728,0.0,95,254728,37.3,0O060Z
284,2009,Placer,6,260230,2.3,14,260230,5.4,14,260230,5.4,3,260230,1.2,100,260230,38.4,0,260230,0.0,107,260230,41.1,0O060Z
285,2010,Placer,2,265780,0.8,23,265780,8.7,14,265780,5.3,5,265780,1.9,128,265780,48.2,0,265780,0.0,84,265780,31.6,0O060Z
286,2011,Placer,6,272624,2.2,23,272624,8.4,15,272624,5.5,0,272624,0.0,117,272624,42.9,2,272624,0.7,83,272624,30.4,0O060Z
287,2012,Placer,6,284602,2.1,14,284602,4.9,7,284602,2.5,1,284602,0.4,96,284602,33.7,0,284602,0.0,101,284602,35.5,0O060Z
288,2013,Placer,3,292401,1.0,16,292401,5.5,13,292401,4.4,2,292401,0.7,103,292401,35.2,0,292401,0.0,109,292401,37.3,0O060Z
289,2005,Plumas,0,16762,0.0,3,16762,17.9,1,16762,6.0,0,16762,0.0,8,16762,47.7,0,16762,0.0,4,16762,23.9,0O0611
290,2006,Plumas,0,16591,0.0,0,16591,0.0,0,16591,0.0,0,16591,0.0,8,16591,48.2,0,16591,0.0,8,16591,48.2,0O0611
291,2007,Plumas,1,16601,6.0,2,16601,12.0,2,16601,12.0,0,16601,0.0,6,16601,36.1,0,16601,0.0,3,16601,18.1,0O0611
292,2008,Plumas,0,16521,0.0,3,16521,18.2,0,16521,0.0,1,16521,6.1,4,16521,24.2,0,16521,0.0,6,16521,36.3,0O0611
293,2009,Plumas,0,16384,0.0,0,16384,0.0,0,16384,0.0,0,16384,0.0,4,16384,24.4,0,16384,0.0,4,16384,24.4,0O0611
294,2010,Plumas,1,16311,6.1,0,16311,0.0,1,16311,6.1,0,16311,0.0,3,16311,18.4,0,16311,0.0,5,16311,30.7,0O0611
295,2011,Plumas,1,16239,6.2,3,16239,18.5,0,16239,0.0,0,16239,0.0,7,16239,43.1,0,16239,0.0,3,16239,18.5,0O0611
296,2012,Plumas,0,16476,0.0,1,16476,6.1,0,16476,0.0,2,16476,12.1,3,16476,18.2,0,16476,0.0,2,16476,12.1,0O0611
297,2013,Plumas,0,16494,0.0,0,16494,0.0,1,16494,6.1,0,16494,0.0,1,16494,6.1,0,16494,0.0,1,16494,6.1,0O0611
298,2005,Riverside,22,1365225,1.6,78,1365225,5.7,303,1365225,22.2,29,1365225,2.1,472,1365225,34.6,0,1365225,0.0,414,1365225,30.3,0O0613
299,2006,Riverside,9,1423074,0.6,76,1423074,5.3,299,1423074,21.0,31,1423074,2.2,455,1423074,32.0,0,1423074,0.0,496,1423074,34.9,0O0613
300,2007,Riverside,25,1468741,1.7,69,1468741,4.7,317,1468741,21.6,31,1468741,2.1,435,1468741,29.6,0,1468741,0.0,467,1468741,31.8,0O0613
301,2008,Riverside,26,1497677,1.7,77,1497677,5.1,204,1497677,13.6,40,1497677,2.7,467,1497677,31.2,1,1497677,0.1,496,1497677,33.1,0O0613
302,2009,Riverside,13,1532584,0.8,74,1532584,4.8,183,1532584,11.9,22,1532584,1.4,434,1532584,28.3,1,1532584,0.1,463,1532584,30.2,0O0613
303,2010,Riverside,19,1579716,1.2,84,1579716,5.3,160,1579716,10.1,28,1579716,1.8,457,1579716,28.9,0,1579716,0.0,480,1579716,30.4,0O0613
304,2011,Riverside,17,1618245,1.1,89,1618245,5.5,146,1618245,9.0,29,1618245,1.8,443,1618245,27.4,1,1618245,0.1,482,1618245,29.8,0O0613
305,2012,Riverside,18,1690499,1.1,72,1690499,4.3,134,1690499,7.9,18,1690499,1.1,368,1690499,21.8,3,1690499,0.2,416,1690499,24.6,0O0613
306,2013,Riverside,25,1739682,1.4,71,1739682,4.1,122,1739682,7.0,24,1739682,1.4,343,1739682,19.7,0,1739682,0.0,413,1739682,23.7,0O0613
307,2005,Sacramento,13,1001691,1.3,67,1001691,6.7,223,1001691,22.3,11,1001691,1.1,395,1001691,39.4,0,1001691,0.0,443,1001691,44.2,0O0615
308,2006,Sacramento,11,1010429,1.1,74,1010429,7.3,200,1010429,19.8,12,1010429,1.2,376,1010429,37.2,0,1010429,0.0,385,1010429,38.1,0O0615
309,2007,Sacramento,11,1020852,1.1,62,1020852,6.1,154,1020852,15.1,13,1020852,1.3,443,1020852,43.4,2,1020852,0.2,370,1020852,36.2,0O0615
310,2008,Sacramento,15,1032542,1.5,78,1032542,7.6,115,1032542,11.1,17,1032542,1.6,386,1032542,37.4,0,1032542,0.0,384,1032542,37.2,0O0615
311,2009,Sacramento,14,1046094,1.3,71,1046094,6.8,111,1046094,10.6,8,1046094,0.8,341,1046094,32.6,0,1046094,0.0,373,1046094,35.7,0O0615
312,2010,Sacramento,10,1058518,0.9,80,1058518,7.6,92,1058518,8.7,14,1058518,1.3,390,1058518,36.8,0,1058518,0.0,415,1058518,39.2,0O0615
313,2011,Sacramento,14,1075584,1.3,67,1075584,6.2,86,1075584,8.0,10,1075584,0.9,364,1075584,33.8,4,1075584,0.4,419,1075584,39.0,0O0615
314,2012,Sacramento,20,1096026,1.8,76,1096026,6.9,67,1096026,6.1,8,1096026,0.7,366,1096026,33.4,1,1096026,0.1,414,1096026,37.8,0O0615
315,2013,Sacramento,13,1111172,1.2,57,1111172,5.1,67,1111172,6.0,8,1111172,0.7,330,1111172,29.7,0,1111172,0.0,369,1111172,33.2,0O0615
316,2005,"San Benito",0,38212,0.0,2,38212,5.2,11,38212,28.8,0,38212,0.0,7,38212,18.3,0,38212,0.0,14,38212,36.6,0O0617
317,2006,"San Benito",0,37946,0.0,1,37946,2.6,3,37946,7.9,1,37946,2.6,16,37946,42.2,0,37946,0.0,13,37946,34.3,0O0617
318,2007,"San Benito",2,37962,5.3,3,37962,7.9,10,37962,26.3,2,37962,5.3,16,37962,42.1,0,37962,0.0,12,37962,31.6,0O0617
319,2008,"San Benito",0,38262,0.0,6,38262,15.7,2,38262,5.2,0,38262,0.0,7,38262,18.3,0,38262,0.0,14,38262,36.6,0O0617
320,2009,"San Benito",0,38665,0.0,2,38665,5.2,3,38665,7.8,1,38665,2.6,10,38666,25.9,0,38665,0.0,7,38665,18.1,0O0617
321,2010,"San Benito",0,39605,0.0,6,39605,15.1,1,39605,2.5,1,39605,2.5,14,39605,35.3,0,39605,0.0,8,39605,20.2,0O0617
322,2011,"San Benito",1,40265,2.5,1,40265,2.5,5,40265,12.4,1,40265,2.5,11,40265,27.3,0,40265,0.0,13,40265,32.3,0O0617
323,2012,"San Benito",0,39746,0.0,0,39746,0.0,1,39746,2.5,0,39746,0.0,8,39746,20.1,0,39746,0.0,6,39746,15.1,0O0617
324,2013,"San Benito",0,39977,0.0,0,39977,0.0,1,39977,2.5,0,39977,0.0,12,39977,30.0,0,39977,0.0,6,39977,15.0,0O0617
325,2005,"San Bernardino",16,1347408,1.2,106,1347408,7.9,347,1347408,25.8,35,1347408,2.6,341,1347408,25.3,2,1347408,0.1,402,1347408,29.8,0O0619
326,2006,"San Bernardino",14,1373516,1.0,96,1373516,7.0,379,1373516,27.6,24,1373516,1.7,351,1373516,25.6,0,1373516,0.0,385,1373516,28.0,0O0619
327,2007,"San Bernardino",15,1390849,1.1,72,1390849,5.2,340,1390849,24.4,22,1390849,1.6,392,1390849,28.2,1,1390849,0.1,425,1390849,30.6,0O0619
328,2008,"San Bernardino",20,1405191,1.4,99,1405191,7.0,249,1405191,17.7,27,1405191,1.9,359,1405191,25.5,0,1405191,0.0,414,1405191,29.5,0O0619
329,2009,"San Bernardino",11,1420975,0.8,90,1420975,6.3,248,1420975,17.5,21,1420975,1.5,323,1420975,22.7,0,1420975,0.0,393,1420975,27.7,0O0619
330,2010,"San Bernardino",20,1447189,1.4,81,1447189,5.6,209,1447189,14.4,22,1447189,1.5,401,1447189,27.7,1,1447189,0.1,435,1447189,30.1,0O0619
331,2011,"San Bernardino",21,1474036,1.4,80,1474036,5.4,181,1474036,12.3,21,1474036,1.4,396,1474036,26.9,1,1474036,0.1,410,1474036,27.8,0O0619
332,2012,"San Bernardino",26,1515442,1.7,74,1515442,4.9,151,1515442,10.0,16,1515442,1.1,363,1515442,24.0,1,1515442,0.1,394,1515442,26.0,0O0619
333,2013,"San Bernardino",19,1542949,1.2,61,1542949,4.0,152,1542949,9.9,21,1542949,1.4,306,1542949,19.8,0,1542949,0.0,373,1542949,24.2,0O0619
334,2005,"San Diego",18,2214544,0.8,140,2214544,6.3,528,2214544,23.8,32,2214544,1.4,830,2214544,37.5,1,2214544,0.0,817,2214544,36.9,0O061b
335,2006,"San Diego",22,2229606,1.0,137,2229606,6.1,486,2229607,21.8,42,2229606,1.9,857,2229606,38.4,1,2229606,0.0,848,2229606,38.0,0O061b
336,2007,"San Diego",33,2257236,1.5,121,2257236,5.4,433,2257236,19.2,33,2257236,1.5,841,2257236,37.3,2,2257236,0.1,798,2257236,35.4,0O061b
337,2008,"San Diego",28,2296616,1.2,143,2296616,6.2,269,2296616,11.7,21,2296616,0.9,824,2296616,35.9,0,2296616,0.0,869,2296616,37.8,0O061b
338,2009,"San Diego",38,2332413,1.6,131,2332413,5.6,243,2332413,10.4,26,2332413,1.1,714,2332413,30.6,0,2332413,0.0,822,2332413,35.2,0O061b
339,2010,"San Diego",33,2372232,1.4,108,2372232,4.6,237,2372232,10.0,31,2372232,1.3,692,2372232,29.2,1,2372232,0.0,757,2372232,31.9,0O061b
340,2011,"San Diego",26,2407960,1.1,108,2407960,4.5,156,2407960,6.5,32,2407960,1.3,590,2407960,24.5,10,2407960,0.4,729,2407960,30.3,0O061b
341,2012,"San Diego",27,2411914,1.1,95,2411914,3.9,150,2411914,6.2,27,2411914,1.1,539,2411914,22.3,8,2411914,0.3,650,2411914,26.9,0O061b
342,2013,"San Diego",23,2438369,0.9,91,2438369,3.7,136,2438369,5.6,28,2438369,1.1,409,2438369,16.8,1,2438369,0.0,637,2438369,26.1,0O061b
343,2005,"San Francisco",4,655221,0.6,43,655221,6.6,119,655221,18.2,11,655221,1.7,246,655221,37.5,1,655221,0.2,279,655221,42.6,0O061d
344,2006,"San Francisco",12,661295,1.8,34,661295,5.1,117,661295,17.7,8,661295,1.2,226,661295,34.2,0,661295,0.0,216,661295,32.7,0O061d
345,2007,"San Francisco",10,670554,1.5,28,670554,4.2,87,670554,13.0,5,670554,0.7,224,670554,33.4,1,670554,0.1,209,670554,31.2,0O061d
346,2008,"San Francisco",8,682007,1.2,37,682007,5.4,46,682007,6.7,8,682007,1.2,203,682007,29.8,0,682007,0.0,217,682007,31.8,0O061d
347,2009,"San Francisco",11,691485,1.6,39,691485,5.6,38,691485,5.5,5,691485,0.7,139,691485,20.1,0,691485,0.0,234,691485,33.8,0O061d
348,2010,"San Francisco",4,694816,0.6,36,694816,5.2,42,694816,6.0,6,694816,0.9,177,694816,25.5,1,694816,0.1,174,694816,25.0,0O061d
349,2011,"San Francisco",7,701321,1.0,42,701321,6.0,28,701321,4.0,2,701321,0.3,191,701321,27.2,0,701321,0.0,186,701321,26.5,0O061d
350,2012,"San Francisco",4,695540,0.6,42,695540,6.0,33,695540,4.7,3,695540,0.4,157,695540,22.6,2,695540,0.3,179,695540,25.7,0O061d
351,2013,"San Francisco",6,699233,0.9,48,699233,6.9,22,699233,3.1,4,699233,0.6,107,699233,15.3,1,699233,0.1,167,699233,23.9,0O061d
352,2005,"San Joaquin",12,458859,2.6,35,458859,7.6,80,458859,17.4,7,458859,1.5,243,458859,53.0,1,458859,0.2,219,458859,47.7,0O061f
353,2006,"San Joaquin",10,463522,2.2,34,463522,7.3,63,463522,13.6,7,463522,1.5,215,463522,46.4,0,463522,0.0,205,463522,44.2,0O061f
354,2007,"San Joaquin",5,468057,1.1,36,468057,7.7,73,468057,15.6,8,468057,1.7,187,468057,40.0,0,468057,0.0,181,468057,38.7,0O061f
355,2008,"San Joaquin",4,471774,0.8,38,471774,8.1,52,471774,11.0,11,471774,2.3,213,471774,45.1,0,471774,0.0,209,471774,44.3,0O061f
356,2009,"San Joaquin",6,478055,1.3,29,478055,6.1,59,478055,12.3,11,478055,2.3,158,478055,33.1,0,478055,0.0,188,478055,39.3,0O061f
357,2010,"San Joaquin",8,486701,1.6,34,486701,7.0,45,486701,9.2,8,486701,1.6,163,486701,33.5,0,486701,0.0,189,486701,38.8,0O061f
358,2011,"San Joaquin",2,495680,0.4,29,495680,5.9,46,495680,9.3,4,495680,0.8,155,495680,31.3,3,495680,0.6,183,495680,36.9,0O061f
359,2012,"San Joaquin",2,508482,0.4,34,508482,6.7,41,508482,8.1,2,508482,0.4,156,508482,30.7,1,508482,0.2,182,508482,35.8,0O061f
360,2013,"San Joaquin",6,517066,1.2,27,517066,5.2,20,517066,3.9,6,517066,1.2,131,517066,25.3,2,517066,0.4,129,517066,24.9,0O061f
361,2005,"San Luis Obispo",0,203693,0.0,8,203693,3.9,32,203693,15.7,3,203693,1.5,82,203693,40.3,0,203693,0.0,59,203693,29.0,0O061h
362,2006,"San Luis Obispo",0,205958,0.0,4,205958,1.9,35,205958,17.0,2,205958,1.0,85,205958,41.3,0,205958,0.0,57,205958,27.7,0O061h
363,2007,"San Luis Obispo",1,208250,0.5,11,208250,5.3,22,208250,10.6,4,208250,1.9,77,208250,37.0,0,208250,0.0,65,208250,31.2,0O061h
364,2008,"San Luis Obispo",3,211458,1.4,10,211458,4.7,20,211458,9.5,2,211458,0.9,72,211458,34.0,1,211458,0.5,55,211458,26.0,0O061h
365,2009,"San Luis Obispo",3,213363,1.4,5,213363,2.3,15,213363,7.0,2,213363,0.9,55,213363,25.8,0,213363,0.0,46,213363,21.6,0O061h
366,2010,"San Luis Obispo",1,215558,0.5,3,215558,1.4,13,215558,6.0,2,215558,0.9,66,215558,30.6,0,215558,0.0,46,215558,21.3,0O061h
367,2011,"San Luis Obispo",3,216909,1.4,4,216909,1.8,10,216909,4.6,3,216909,1.4,60,216909,27.7,0,216909,0.0,42,216909,19.4,0O061h
368,2012,"San Luis Obispo",1,220126,0.5,9,220126,4.1,11,220126,5.0,1,220126,0.5,54,220126,24.5,1,220126,0.5,47,220126,21.4,0O061h
369,2013,"San Luis Obispo",0,222467,0.0,12,222467,5.4,11,222467,4.9,2,222467,0.9,39,222467,17.5,0,222467,0.0,45,222467,20.2,0O061h
370,2005,"San Mateo",10,535835,1.9,14,535835,2.6,91,535835,17.0,7,535835,1.3,209,535835,39.0,0,535835,0.0,176,535835,32.8,0O061j
371,2006,"San Mateo",3,536688,0.6,32,536688,6.0,96,536688,17.9,3,536688,0.6,190,536688,35.4,0,536688,0.0,198,536688,36.9,0O061j
372,2007,"San Mateo",3,540450,0.6,36,540450,6.7,71,540450,13.1,13,540450,2.4,194,540450,35.9,0,540450,0.0,207,540450,38.3,0O061j
373,2008,"San Mateo",6,548332,1.1,33,548332,6.0,44,548332,8.0,9,548332,1.6,162,548332,29.5,2,548332,0.4,226,548332,41.2,0O061j
374,2009,"San Mateo",3,556343,0.5,26,556343,4.7,29,556343,5.2,12,556343,2.2,133,556343,23.9,0,556343,0.0,182,556343,32.7,0O061j
375,2010,"San Mateo",3,561671,0.5,31,561671,5.5,34,561671,6.1,3,561671,0.5,125,561671,22.3,0,561671,0.0,176,561671,31.3,0O061j
376,2011,"San Mateo",10,567914,1.8,27,567914,4.8,19,567914,3.3,1,567914,0.2,152,567914,26.8,2,567914,0.4,159,567914,28.0,0O061j
377,2012,"San Mateo",6,558577,1.1,31,558577,5.5,16,558577,2.9,3,558577,0.5,118,558577,21.1,0,558577,0.0,173,558577,31.0,0O061j
378,2013,"San Mateo",1,560480,0.2,27,560480,4.8,13,560480,2.3,4,560480,0.7,111,560480,19.8,0,560480,0.0,146,560480,26.0,0O061j
379,2005,"Santa Barbara",3,306606,1.0,14,306606,4.6,41,306606,13.4,4,306606,1.3,83,306606,27.1,0,306606,0.0,102,306606,33.3,0O061l
380,2006,"Santa Barbara",5,307420,1.6,14,307420,4.6,27,307420,8.8,6,307420,2.0,115,307420,37.4,2,307420,0.7,88,307420,28.6,0O061l
381,2007,"Santa Barbara",2,310281,0.6,16,310281,5.2,30,310281,9.7,5,310281,1.6,110,310281,35.5,0,310281,0.0,110,310281,35.5,0O061l
382,2008,"Santa Barbara",2,314006,0.6,20,314006,6.4,11,314006,3.5,10,314006,3.2,108,314006,34.4,1,314006,0.3,118,314006,37.6,0O061l
383,2009,"Santa Barbara",1,317734,0.3,15,317734,4.7,27,317734,8.5,6,317734,1.9,94,317734,29.6,1,317734,0.3,89,317734,28.0,0O061l
384,2010,"Santa Barbara",2,321346,0.6,11,321346,3.4,23,321346,7.2,3,321346,0.9,75,321346,23.3,0,321346,0.0,85,321346,26.5,0O061l
385,2011,"Santa Barbara",1,323344,0.3,10,323344,3.1,20,323344,6.2,10,323344,3.1,85,323344,26.3,0,323344,0.0,87,323344,26.9,0O061l
386,2012,"Santa Barbara",3,324140,0.9,12,324140,3.7,19,324140,5.9,6,324140,1.9,86,324140,26.5,0,324140,0.0,67,324140,20.7,0O061l
387,2013,"Santa Barbara",1,326472,0.3,12,326472,3.7,14,326472,4.3,6,326472,1.8,61,326472,18.7,0,326472,0.0,69,326472,21.1,0O061l
388,2005,"Santa Clara",10,1267009,0.8,84,1267009,6.6,213,1267009,16.8,17,1267009,1.3,459,1267009,36.2,0,1267009,0.0,427,1267009,33.7,0O061n
389,2006,"Santa Clara",8,1280352,0.6,91,1280352,7.1,180,1280352,14.1,18,1280352,1.4,485,1280352,37.9,1,1280352,0.1,470,1280352,36.7,0O061n
390,2007,"Santa Clara",12,1297418,0.9,87,1297418,6.7,183,1297418,14.1,19,1297418,1.5,467,1297418,36.0,2,1297418,0.2,421,1297418,32.4,0O061n
391,2008,"Santa Clara",21,1319407,1.6,73,1319407,5.5,99,1319407,7.5,21,1319407,1.6,417,1319407,31.6,0,1319407,0.0,469,1319407,35.5,0O061n
392,2009,"Santa Clara",9,1339490,0.7,78,1339490,5.8,76,1339490,5.7,20,1339490,1.5,379,1339490,28.3,2,1339490,0.1,489,1339490,36.5,0O061n
393,2010,"Santa Clara",12,1357407,0.9,66,1357407,4.9,66,1357407,4.9,27,1357407,2.0,403,1357407,29.7,0,1357407,0.0,405,1357407,29.8,0O061n
394,2011,"Santa Clara",20,1377352,1.5,76,1377352,5.5,66,1377352,4.8,18,1377352,1.3,436,1377352,31.7,0,1377352,0.0,388,1377352,28.2,0O061n
395,2012,"Santa Clara",9,1363093,0.7,72,1363093,5.3,54,1363093,4.0,12,1363093,0.9,344,1363093,25.2,1,1363093,0.1,365,1363093,26.8,0O061n
396,2013,"Santa Clara",6,1373336,0.4,62,1373336,4.5,41,1373336,3.0,14,1373336,1.0,324,1373336,23.6,0,1373336,0.0,358,1373336,26.1,0O061n
397,2005,"Santa Cruz",5,193146,2.6,16,193146,8.3,32,193146,16.6,3,193146,1.6,67,193146,34.7,0,193146,0.0,42,193146,21.7,0O061p
398,2006,"Santa Cruz",3,193902,1.5,20,193902,10.3,27,193902,13.9,1,193902,0.5,81,193902,41.8,0,193902,0.0,51,193902,26.3,0O061p
399,2007,"Santa Cruz",0,195548,0.0,19,195548,9.7,23,195548,11.8,1,195548,0.5,72,195548,36.8,0,195548,0.0,48,195548,24.5,0O061p
400,2008,"Santa Cruz",4,198374,2.0,15,198374,7.6,20,198374,10.1,3,198374,1.5,79,198374,39.8,0,198374,0.0,62,198374,31.3,0O061p
401,2009,"Santa Cruz",2,201450,1.0,15,201450,7.4,19,201450,9.4,5,201450,2.5,70,201450,34.7,0,201450,0.0,76,201450,37.7,0O061p
402,2010,"Santa Cruz",0,204227,0.0,9,204227,4.4,14,204227,6.9,1,204227,0.5,63,204227,30.8,0,204227,0.0,57,204227,27.9,0O061p
403,2011,"Santa Cruz",2,205429,1.0,8,205429,3.9,9,205429,4.4,1,205429,0.5,54,205429,26.3,0,205429,0.0,53,205429,25.8,0O061p
404,2012,"Santa Cruz",0,203818,0.0,4,203818,2.0,10,203818,4.9,4,203818,2.0,45,203818,22.1,0,203818,0.0,51,203818,25.0,0O061p
405,2013,"Santa Cruz",3,204950,1.5,5,204950,2.4,4,204950,2.0,3,204950,1.5,40,204950,19.5,0,204950,0.0,42,204950,20.5,0O061p
406,2005,Shasta,6,133597,4.5,13,133597,9.7,60,133597,44.9,4,133597,3.0,92,133597,68.9,0,133597,0.0,65,133597,48.7,0O061r
407,2006,Shasta,7,134702,5.2,9,134702,6.7,44,134702,32.7,3,134702,2.2,84,134702,62.4,0,134702,0.0,78,134702,57.9,0O061r
408,2007,Shasta,4,135409,3.0,14,135409,10.3,32,135409,23.6,5,135409,3.7,68,135409,50.2,0,135409,0.0,73,135409,53.9,0O061r
409,2008,Shasta,4,136355,2.9,17,136355,12.5,43,136355,31.5,3,136355,2.2,87,136355,63.8,0,136355,0.0,89,136355,65.3,0O061r
410,2009,Shasta,2,137066,1.5,18,137066,13.1,14,137066,10.2,2,137066,1.5,50,137066,36.5,0,137066,0.0,63,137066,46.0,0O061r
411,2010,Shasta,2,137755,1.5,9,137755,6.5,12,137755,8.7,0,137755,0.0,61,137755,44.3,0,137755,0.0,54,137755,39.2,0O061r
412,2011,Shasta,0,138865,0.0,13,138865,9.4,13,138865,9.4,3,138865,2.2,28,138865,20.2,0,138865,0.0,59,138865,42.5,0O061r
413,2012,Shasta,1,142036,0.7,8,142036,5.6,11,142036,7.7,1,142036,0.7,34,142036,23.9,0,142036,0.0,40,142036,28.2,0O061r
414,2013,Shasta,1,143503,0.7,7,143503,4.9,5,143503,3.5,6,143503,4.2,30,143503,20.9,0,143503,0.0,43,143503,30.0,0O061r
