"header","col","description"
"trimesterprenatalcarebegansecond","prenatal_second","Trimester Prenatal Care Began Second"
"prenatalcaretrimesterthird","prenatal_third","Prenatal Care Trimester  Third"
"trimesterprenatalcarebegan3-third","prenatal_third","Trimester Prenatal Care Began 3-Third"
"trimesterprenatalcarebeganthird","prenatal_third","Trimester Prenatal Care Began Third"
"prenatalcaretrimesterunk","prenatal_unk","Prenatal Care Trimester  Unk"
"trimesterprenatalcarebeganunk","prenatal_unk","Trimester Prenatal Care Began UNK"
"totalbirths","total_births","Total Births "
"birthweight(grams)1500-2499g","weight_1500_2499","Birthweight (grams) 1500-2499g"
"infantbirthweight1500-2499","weight_1500_2499","Birthweight (grams) 1500-2499g"
"infantbirthweight1500-2499.0","weight_1500_2499","Birthweight (grams) 1500-2499g"
"birthweight(grams)2500+grams","weight_gt2500","Birthweight (grams) 2500+ grams"
"infantbirthweight2500+grams","weight_gt2500","Infant Birthweight 2500+ Grams"
"birthweight(grams)under1500g","weight_lt1500","Birthweight (grams) UNDER 1500g"
"infantbirthweightunder1500","weight_lt1500","Infant Birthweight Under 1500"
"infantbirthweightunder1500.0","weight_lt1500","INFANT BIRTHWEIGHT Under 1500.0"
"birthweight(grams)unk","weight_unk","Birthweight (grams) UNK"
"infantbirthweightweightunk","weight_unk","Infant Birthweight Weight Unk"
"infantbirthweightwt.unk","weight_unk","INFANT BIRTHWEIGHT Wt. Unk"
"zipcode","zipcode","Zip Code"
"id","id","California Birth profiles"
